"Date Time","WDIR (degT)","WSPD (m/s)","WVHT (m)","DPD (sec)","APD (sec)","PRES (hPa)"
01.01.2020 00:40,308.00,9.10,4.20,23.5,10.2,1028.5
01.01.2020 01:40,309.00,8.00,3.69,21.1,9.3,1028.2
01.01.2020 02:40,309.00,9.00,4.46,21.1,10.8,1028.8
01.01.2020 03:40,302.00,7.90,4.71,21.1,10.9,1028.8
01.01.2020 04:40,295.00,7.20,5.44,21.1,12.2,1028.8
01.01.2020 05:40,294.00,7.60,5.54,21.1,12.7,1029.1
01.01.2020 06:40,296.00,8.40,4.26,21.1,10.2,1029.2
01.01.2020 07:40,294.00,7.20,4.54,21.1,10.0,1028.9
01.01.2020 08:40,289.00,6.30,4.89,19.1,11.1,1027.7
01.01.2020 09:40,276.00,5.60,4.73,21.1,10.8,1027.5
01.01.2020 10:40,277.00,7.50,5.07,19.1,11.5,1027.4
01.01.2020 11:40,296.00,8.10,4.42,19.1,10.3,1027.6
01.01.2020 12:40,298.00,7.00,5.17,19.1,11.1,1027.4
01.01.2020 13:40,293.00,6.00,4.55,19.1,10.9,1027.0
01.01.2020 14:40,285.00,4.90,4.65,19.1,10.9,1026.7
01.01.2020 15:40,292.00,7.10,5.35,19.1,11.9,1027.3
01.01.2020 16:40,291.00,6.80,4.98,19.1,11.2,1027.7
01.01.2020 17:40,302.00,7.70,4.72,19.1,10.8,1028.5
01.01.2020 18:40,325.00,8.30,5.33,19.1,11.8,1029.9
01.01.2020 19:40,295.00,4.80,4.51,17.4,10.6,1029.1
01.01.2020 20:40,298.00,5.70,5.01,19.1,11.2,1028.9
01.01.2020 21:40,311.00,6.80,5.32,19.1,11.8,1028.3
01.01.2020 22:40,316.00,5.70,5.20,17.4,11.9,1028.0
01.01.2020 23:40,312.00,4.80,4.66,19.1,11.4,1027.8
02.01.2020 00:40,314.00,4.40,4.61,19.1,11.1,1027.6
02.01.2020 01:40,324.00,5.20,4.67,17.4,11.2,1027.6
02.01.2020 02:40,333.00,4.30,4.93,17.4,11.8,1027.9
02.01.2020 03:40,306.00,3.20,4.64,19.1,11.2,1027.9
02.01.2020 04:40,305.00,4.10,4.63,16.0,11.6,1028.4
02.01.2020 05:40,299.00,4.30,4.74,17.4,11.4,1028.7
02.01.2020 06:40,305.00,4.90,4.00,17.4,10.6,1028.9
02.01.2020 07:40,306.00,4.60,4.17,17.4,11.2,1029.1
02.01.2020 08:40,304.00,4.90,4.56,17.4,11.1,1028.4
02.01.2020 09:40,303.00,4.70,4.24,14.8,11.1,1027.8
02.01.2020 10:40,290.00,3.80,4.51,17.4,11.4,1027.6
02.01.2020 11:40,309.00,3.20,4.26,13.8,11.4,1027.3
02.01.2020 12:40,261.00,3.70,4.19,14.8,11.2,1026.9
02.01.2020 13:40,309.00,3.10,3.90,16.0,10.8,1026.6
02.01.2020 14:40,272.00,2.60,3.63,16.0,10.5,1026.7
02.01.2020 15:40,255.00,3.50,3.99,17.4,10.9,1026.8
02.01.2020 16:40,251.00,4.50,3.71,16.0,10.5,1027.0
02.01.2020 17:40,240.00,4.70,3.98,17.4,11.1,1027.3
02.01.2020 18:40,251.00,3.60,3.58,16.0,10.5,1027.4
02.01.2020 19:40,215.00,4.30,3.58,16.0,10.2,1026.7
02.01.2020 20:40,205.00,4.70,3.35,16.0,10.7,1025.3
02.01.2020 21:40,201.00,5.20,3.46,16.0,10.8,1024.2
02.01.2020 22:40,203.00,6.60,3.26,16.0,10.3,1023.5
02.01.2020 23:40,208.00,5.50,3.00,14.8,10.1,1023.8
03.01.2020 00:40,197.00,4.60,3.29,16.0,10.9,1023.9
03.01.2020 01:40,191.00,5.30,3.18,16.0,10.6,1023.4
03.01.2020 02:40,188.00,6.60,3.03,14.8,10.2,1023.7
03.01.2020 03:40,195.00,6.80,3.02,12.9,9.9,1023.8
03.01.2020 04:40,195.00,7.00,3.25,16.0,9.9,1023.9
03.01.2020 05:40,189.00,7.30,3.06,14.8,9.4,1023.8
03.01.2020 06:40,174.00,7.30,3.19,12.9,9.1,1023.3
03.01.2020 07:40,183.00,7.30,3.20,14.8,8.9,1023.1
03.01.2020 08:40,191.00,7.60,3.17,12.9,8.4,1022.5
