"Date Time","WDIR (degT)","WSPD (m/s)","WVHT (m)","DPD (sec)","APD (sec)","MWD (degT)","PRES (hPa)","ATMP (degC)","WTMP (degC)"
01.01.2021 00:40,197.00,5.40,3.39,12.9,9.9,292.00,1023.0,14.30,999.00
01.01.2021 01:40,201.00,6.00,3.07,12.9,9.4,295.00,1023.1,14.10,999.00
01.01.2021 02:40,217.00,7.50,3.16,14.8,9.5,284.00,1023.0,14.10,999.00
01.01.2021 03:40,226.00,6.70,3.11,14.8,9.1,289.00,1022.9,13.90,999.00
01.01.2021 04:40,230.00,6.40,3.12,16.0,9.3,279.00,1022.8,14.00,999.00
01.01.2021 05:40,203.00,5.50,3.22,11.4,9.3,292.00,1022.0,14.40,999.00
01.01.2021 06:40,211.00,4.90,3.56,12.9,10.0,294.00,1022.3,14.10,999.00
01.01.2021 07:40,218.00,6.40,3.30,11.4,9.5,292.00,1021.4,14.20,999.00
01.01.2021 08:40,209.00,5.70,3.01,14.8,9.0,298.00,1021.2,14.30,999.00
01.01.2021 09:40,186.00,6.10,3.08,13.8,9.5,295.00,1019.8,14.30,999.00
01.01.2021 10:40,189.00,7.40,2.82,14.8,8.6,291.00,1019.5,14.30,999.00
01.01.2021 11:40,196.00,5.40,2.80,16.0,9.0,281.00,1018.9,14.30,999.00
01.01.2021 12:40,190.00,8.50,2.90,17.4,8.4,291.00,1017.9,14.50,999.00
01.01.2021 13:40,185.00,8.60,3.12,13.8,8.4,290.00,1017.3,14.40,999.00
01.01.2021 14:40,204.00,9.30,2.94,13.8,7.9,299.00,1016.9,14.70,999.00
01.01.2021 15:40,200.00,9.30,3.24,16.0,8.1,284.00,1016.9,14.70,999.00
01.01.2021 16:40,240.00,10.10,3.18,12.9,7.8,285.00,1017.8,14.50,999.00
01.01.2021 17:40,287.00,9.60,3.43,14.8,7.8,273.00,1018.6,12.50,999.00
01.01.2021 18:40,262.00,6.90,3.53,21.1,8.6,282.00,1019.2,13.20,999.00
01.01.2021 19:40,248.00,6.40,3.88,21.1,9.0,299.00,1018.4,13.50,999.00
01.01.2021 20:40,236.00,5.30,4.17,21.1,9.6,307.00,1018.0,13.80,999.00
01.01.2021 21:40,233.00,5.60,3.96,21.1,9.0,297.00,1017.5,14.00,999.00
01.01.2021 22:40,260.00,4.50,4.35,19.1,9.8,311.00,1017.7,14.10,999.00
01.01.2021 23:40,244.00,4.40,4.76,19.1,10.0,298.00,1019.1,14.10,999.00
02.01.2021 00:40,269.00,5.40,4.66,19.1,9.9,290.00,1019.7,14.30,999.00
02.01.2021 01:40,265.00,3.80,4.82,19.1,10.3,283.00,1020.1,14.20,999.00
02.01.2021 02:40,253.00,4.10,4.29,19.1,9.6,284.00,1020.2,13.80,999.00
02.01.2021 03:40,226.00,3.70,5.03,17.4,10.7,290.00,1020.4,13.80,999.00
02.01.2021 04:40,229.00,3.50,4.70,17.4,9.9,279.00,1020.9,13.90,999.00
02.01.2021 05:40,226.00,3.00,4.35,19.1,9.8,282.00,1021.2,13.90,999.00
02.01.2021 06:40,234.00,3.30,4.97,17.4,10.6,284.00,1021.6,13.80,999.00
02.01.2021 07:40,245.00,3.40,5.68,19.1,12.0,290.00,1022.0,13.70,999.00
02.01.2021 08:40,246.00,3.70,4.96,19.1,10.9,309.00,1022.2,13.90,13.70
02.01.2021 09:40,203.00,2.60,5.01,16.0,11.1,293.00,1021.6,13.80,13.70
02.01.2021 10:40,203.00,3.90,5.10,17.4,11.1,293.00,1021.4,13.70,13.70
02.01.2021 11:40,209.00,3.90,5.18,17.4,11.6,294.00,1021.6,13.80,13.70
02.01.2021 12:40,220.00,5.50,5.97,17.4,12.3,290.00,1021.0,13.70,13.70
02.01.2021 13:40,259.00,6.50,5.71,19.1,11.6,281.00,1020.8,13.20,13.70
02.01.2021 14:40,212.00,5.40,5.33,17.4,11.4,280.00,1021.5,13.60,13.70
02.01.2021 15:40,216.00,6.00,5.27,17.4,11.0,283.00,1021.7,13.70,13.70
02.01.2021 16:40,224.00,5.30,6.48,17.4,12.2,275.00,1021.9,13.80,13.70
02.01.2021 17:40,230.00,5.60,5.65,16.0,11.9,278.00,1023.0,13.90,13.80
02.01.2021 18:40,206.00,5.60,5.34,16.0,11.5,284.00,1022.3,14.00,13.80
02.01.2021 19:40,213.00,6.40,5.27,16.0,11.6,285.00,1021.7,14.10,13.80
02.01.2021 20:40,221.00,6.20,5.18,16.0,11.1,279.00,1021.1,14.00,13.80
02.01.2021 21:40,226.00,7.00,5.00,14.8,11.3,286.00,1020.8,14.10,13.80
02.01.2021 22:40,219.00,5.80,4.76,16.0,11.2,280.00,1020.8,14.10,13.80
02.01.2021 23:40,212.00,6.10,4.81,16.0,10.8,278.00,1020.6,14.20,13.80
03.01.2021 00:40,212.00,5.90,5.56,16.0,12.0,286.00,1020.5,14.20,13.80
03.01.2021 01:40,210.00,6.70,4.65,16.0,10.7,280.00,1020.6,14.10,13.80
03.01.2021 02:40,208.00,6.90,4.36,16.0,10.5,277.00,1020.7,14.20,13.80
03.01.2021 03:40,208.00,7.20,4.87,14.8,10.6,282.00,1020.3,14.30,13.80
03.01.2021 04:40,211.00,7.50,4.25,14.8,10.1,278.00,1020.2,14.30,13.80
03.01.2021 05:40,219.00,8.00,4.66,14.8,10.5,279.00,1020.6,14.30,13.80
03.01.2021 06:40,223.00,7.40,4.35,16.0,9.8,278.00,1021.0,14.30,13.80
03.01.2021 07:40,224.00,6.80,4.36,14.8,10.0,289.00,1020.8,14.30,13.80
03.01.2021 08:40,226.00,6.80,4.56,14.8,10.3,288.00,1020.6,14.30,13.70
03.01.2021 09:40,229.00,6.50,4.46,12.9,9.7,288.00,1020.2,14.40,13.70
03.01.2021 10:40,232.00,6.30,5.03,14.8,10.2,287.00,1020.1,14.60,13.70
03.01.2021 11:40,212.00,5.50,4.81,14.8,9.9,279.00,1019.7,14.30,13.70
03.01.2021 12:40,202.00,5.10,5.55,14.8,10.8,291.00,1019.3,14.10,13.70
03.01.2021 13:40,197.00,6.00,4.68,13.8,10.0,285.00,1018.8,14.10,13.70
03.01.2021 14:40,202.00,6.80,5.00,13.8,10.2,292.00,1019.2,14.10,13.70
03.01.2021 15:40,190.00,7.50,4.59,12.1,9.7,287.00,1018.3,14.10,13.70
03.01.2021 16:40,195.00,7.80,4.02,13.8,9.1,287.00,1018.3,14.20,13.70
03.01.2021 17:40,195.00,5.90,4.22,14.8,9.4,278.00,1018.4,14.20,13.70
03.01.2021 18:40,192.00,6.60,4.48,13.8,10.4,284.00,1018.6,14.20,13.70
