"Date Time","WDIR (degT)","WSPD (m/s)","WVHT (m)","DPD (sec)","APD (sec)","MWD (degT)","PRES (hPa)","ATMP (degC)","WTMP (degC)"
17.07.2022 00:00,360.00,5.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.7,18.20,18.90
17.07.2022 00:10,360.00,5.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.6,18.20,18.90
17.07.2022 00:20,350.00,5.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.6,18.30,18.90
17.07.2022 00:30,350.00,5.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.7,18.30,18.90
17.07.2022 00:40,350.00,6.00,1.70,-9999.0,7.2,191.00,1022.8,18.30,18.90
17.07.2022 00:50,350.00,6.00,1.70,16.0,7.2,191.00,1022.7,18.20,-9999.00
17.07.2022 01:00,360.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.7,18.20,18.90
17.07.2022 01:10,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.6,18.10,18.90
17.07.2022 01:20,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.6,18.10,18.90
17.07.2022 01:30,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,18.10,18.90
17.07.2022 01:40,360.00,6.00,1.90,-9999.0,7.5,305.00,1022.5,18.00,18.90
17.07.2022 01:50,350.00,6.00,1.90,11.0,7.5,305.00,1022.5,18.00,18.90
17.07.2022 02:00,360.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,18.10,18.80
17.07.2022 02:10,350.00,5.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.4,18.10,18.80
17.07.2022 02:20,360.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,18.10,18.80
17.07.2022 02:30,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,18.10,18.80
17.07.2022 02:40,360.00,6.00,1.70,-9999.0,7.1,301.00,1022.6,18.00,18.80
17.07.2022 02:50,350.00,6.00,1.70,10.0,7.1,301.00,1022.6,18.00,-9999.00
17.07.2022 03:00,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,17.90,18.80
17.07.2022 03:10,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,17.90,18.80
17.07.2022 03:20,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,17.90,18.80
17.07.2022 03:30,360.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.4,17.90,18.80
17.07.2022 03:40,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.4,17.90,18.80
17.07.2022 03:50,350.00,7.00,1.70,16.0,6.7,201.00,1022.3,18.00,18.80
17.07.2022 04:00,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.3,17.90,18.70
17.07.2022 04:10,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.4,18.00,18.70
17.07.2022 04:20,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.4,17.90,18.70
17.07.2022 04:30,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.5,17.90,18.70
17.07.2022 04:40,350.00,6.00,1.80,-9999.0,6.6,303.00,1022.6,17.90,18.70
17.07.2022 04:50,360.00,7.00,1.80,10.0,6.6,303.00,1022.6,18.00,-9999.00
17.07.2022 05:00,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.7,17.90,18.70
17.07.2022 05:10,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.8,18.00,18.70
17.07.2022 05:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.8,18.00,18.70
17.07.2022 05:30,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.9,18.00,18.70
17.07.2022 05:40,360.00,7.00,1.90,-9999.0,6.9,310.00,1022.9,17.90,18.70
17.07.2022 05:50,350.00,6.00,1.90,10.0,6.9,310.00,1022.9,18.00,-9999.00
17.07.2022 06:00,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.9,17.90,18.70
17.07.2022 06:10,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.9,17.90,18.70
17.07.2022 06:20,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.8,17.90,18.70
17.07.2022 06:30,340.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.7,17.90,18.70
17.07.2022 06:40,340.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.7,17.90,18.70
17.07.2022 06:50,340.00,7.00,1.60,11.0,6.1,312.00,1022.5,17.90,18.60
17.07.2022 07:00,340.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.4,17.90,18.60
17.07.2022 07:10,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.4,18.00,18.60
17.07.2022 07:20,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.3,18.10,18.60
17.07.2022 07:30,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.3,18.20,18.60
17.07.2022 07:40,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.3,18.10,18.60
17.07.2022 07:50,350.00,7.00,1.70,10.0,6.2,304.00,1022.3,18.10,18.60
17.07.2022 08:00,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.3,18.10,18.60
17.07.2022 08:10,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.2,18.00,18.60
17.07.2022 08:20,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.2,18.10,18.60
17.07.2022 08:30,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.3,18.10,18.60
17.07.2022 08:40,350.00,7.00,1.70,-9999.0,6.2,305.00,1022.1,18.00,18.60
17.07.2022 08:50,350.00,7.00,1.70,10.0,6.2,305.00,1022.0,18.00,-9999.00
17.07.2022 09:00,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.0,18.00,18.60
17.07.2022 09:10,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.0,17.70,18.60
17.07.2022 09:20,350.00,9.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.0,17.40,18.60
17.07.2022 09:30,350.00,10.00,-9999.00,-9999.0,-9999.0,-9999.00,1022.0,16.70,18.60
17.07.2022 09:40,350.00,9.00,1.60,-9999.0,5.6,314.00,1022.0,16.30,18.50
17.07.2022 09:50,360.00,6.00,1.60,10.0,5.6,314.00,1022.0,16.60,-9999.00
17.07.2022 10:00,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.9,17.00,18.50
17.07.2022 10:10,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.8,17.30,18.50
17.07.2022 10:20,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,17.30,18.50
17.07.2022 10:30,350.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,17.40,18.50
17.07.2022 10:40,350.00,9.00,1.80,-9999.0,6.3,308.00,1021.7,17.30,18.50
17.07.2022 10:50,340.00,10.00,1.80,10.0,6.3,308.00,1021.9,16.70,-9999.00
17.07.2022 11:00,340.00,9.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.9,16.30,18.50
17.07.2022 11:10,350.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.9,16.00,18.50
17.07.2022 11:20,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.8,16.30,18.50
17.07.2022 11:30,10.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.8,16.60,18.50
17.07.2022 11:40,350.00,8.00,1.70,-9999.0,5.8,319.00,1021.8,16.70,18.40
17.07.2022 11:50,360.00,8.00,1.70,9.0,5.8,319.00,1021.7,16.90,-9999.00
17.07.2022 12:00,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,16.70,18.40
17.07.2022 12:10,340.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,16.70,18.40
17.07.2022 12:20,330.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,16.80,18.40
17.07.2022 12:30,330.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,16.50,18.40
17.07.2022 12:40,330.00,8.00,1.90,-9999.0,6.2,308.00,1021.7,16.30,18.40
17.07.2022 12:50,350.00,6.00,1.90,9.0,6.2,308.00,1021.6,16.00,-9999.00
17.07.2022 13:00,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,16.10,18.40
17.07.2022 13:10,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,16.90,18.40
17.07.2022 13:20,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,17.50,18.40
17.07.2022 13:30,350.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.4,17.60,18.40
17.07.2022 13:40,360.00,9.00,2.10,-9999.0,6.5,313.00,1021.5,17.60,18.40
17.07.2022 13:50,360.00,9.00,2.10,9.0,6.5,313.00,1021.5,17.50,-9999.00
17.07.2022 14:00,360.00,9.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,17.50,18.40
17.07.2022 14:10,360.00,9.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,17.50,18.40
17.07.2022 14:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,17.50,18.40
17.07.2022 14:30,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,17.70,18.40
17.07.2022 14:40,10.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,17.80,18.40
17.07.2022 14:50,360.00,8.00,1.90,10.0,6.1,319.00,1021.6,17.80,18.40
17.07.2022 15:00,350.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,17.70,18.40
17.07.2022 15:10,360.00,9.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.8,17.70,18.40
17.07.2022 15:20,10.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.8,17.10,18.40
17.07.2022 15:30,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.8,17.00,18.40
17.07.2022 15:40,360.00,8.00,1.90,-9999.0,5.9,311.00,1021.8,17.10,18.40
17.07.2022 15:50,360.00,7.00,1.90,10.0,5.9,311.00,1021.8,17.30,-9999.00
17.07.2022 16:00,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.9,17.40,18.40
17.07.2022 16:10,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.9,17.40,18.30
